UNC27781681 UNCHS044153 UNCHS044154 JAX00436295 UNC27782039 UNC27782319 UNC27782556 UNCHS044157 UNCHS044158 UNC27783294 JAX00436342 UNCHS044159 UNC27784624 UNCJPD006601 UNCHS044161 UNCHS044162 UNC27785817 UNC27786598 JAX00436408 JAX00075133 UNC27787813 UNC27789455 UNCHS044163 UNCHS044164 JAX00436462 UNC27790128 UNC27790980 JAX00075148 JAX00075149 UNCJPD008530 UNC27791907 UNC27792423 UNCHS044166 UNC27792845 UNC27793027 UNC27793239 UNC27793465 UNCHS044167 UNCHS044168 UNC27794178 UNCHS044169
UNC27781681 -1544.15114636793 -1544.15180758352 -1544.09851642501 -1544.12942918446 -1544.24433475374 -1544.2440254299 -1544.24264304327 -1543.62717194814 -1543.56619581988 -1543.36603214555 -1543.36589518215 -1543.36350002432 -1543.02588311732 -1543.02121646823 -1543.01921405252 -1543.01892197526 -1543.01823647677 -1543.00660125682 -1542.81196869223 -1542.42191986679 -1542.18533618679 -1542.71505870377 -1542.90798464051 -1542.94065533746 -1541.59813550774 -1541.71528266248 -1542.31616875667 -1542.51306389478 -1542.60144004947 -1542.65809618596 -1542.71459893175 -1543.79291523922 -1544.26564728117 -1544.18173171328 -1544.13940428302 -1544.10130445041 -1544.10113139529 -1544.10098136525 -1544.10162121658 -1544.1165428659 -1548.05236240738
UNCHS044153 -1544.14611702383 -1544.14677494699 -1544.09342916417 -1544.12387360698 -1544.2387027959 -1544.23839151339 -1544.23700861264 -1543.62153760915 -1543.56056153425 -1543.36039842373 -1543.36026138664 -1543.35786493672 -1543.02022561027 -1543.01555629847 -1543.01355275883 -1543.01326051267 -1543.01257469837 -1543.00094615259 -1542.80631040791 -1542.41629379728 -1542.17974810344 -1542.70955563137 -1542.90250328295 -1542.93517761897 -1541.59264906381 -1541.7097966948 -1542.31068204608 -1542.50757611205 -1542.59595186504 -1542.65260806724 -1542.70911099301 -1543.78753799114 -1544.26026912456 -1544.17634681095 -1544.13401727391 -1544.09592278941 -1544.09574968152 -1544.09559960541 -1544.09623941258 -1544.11116017 -1548.04697606132
UNCHS044154 -1544.05001193709 -1544.05061744295 -1543.9951581601 -1544.00690481263 -1544.11855386378 -1544.11818947009 -1544.11680707491 -1543.50126836967 -1543.44028261084 -1543.24008769706 -1543.23995063349 -1543.23755371212 -1542.89934490206 -1542.89467945249 -1542.89267751945 -1542.89238549932 -1542.89170001026 -1542.88036392935 -1542.68566280508 -1542.29665164544 -1542.06128283129 -1542.59382128531 -1542.78743226309 -1542.82021780706 -1541.47777981671 -1541.59491180436 -1542.19573799271 -1542.39259146274 -1542.4809517304 -1542.53762401749 -1542.59414571844 -1543.67328489591 -1544.14615876645 -1544.06252314759 -1544.02034690714 -1543.98242704743 -1543.98225395059 -1543.98210388436 -1543.98274300002 -1543.99765143883 -1547.93299918307
JAX00436295 -1543.4925629321 -1543.49265729318 -1543.41717292695 -1543.2427923856 -1543.32081655102 -1543.31988842637 -1543.31851068681 -1542.70244327415 -1542.64137887243 -1542.44092800075 -1542.44079091106 -1542.43839345512 -1542.09505826614 -1542.09042589155 -1542.08843765752 -1542.08814791157 -1542.08746592001 -1542.07791438381 -1541.88282046737 -1541.50017990965 -1541.27238601207 -1541.8219130996 -1542.01972608472 -1542.05321574307 -1540.71259857232 -1540.82950920738 -1541.42930565144 -1541.62575572143 -1541.71395668029 -1541.77076483314 -1541.8274369399 -1542.91052504648 -1543.38351707342 -1543.30167005264 -1543.26045811599 -1543.22366784675 -1543.22349451902 -1543.22334425307 -1543.22397508836 -1543.23872600826 -1547.16993998105
UNC27782039 -1543.46016584829 -1543.46016247024 -1543.38096488779 -1543.17022832767 -1543.24129681404 -1543.24025164872 -1543.23887474392 -1542.62273143041 -1542.56165499453 -1542.36116550522 -1542.36102845592 -1542.35863169261 -1542.01439336671 -1542.00976639992 -1542.00778039155 -1542.00749109501 -1542.00680983723 -1541.99739089947 -1541.8022697356 -1541.420170664 -1541.19304738166 -1541.74391513449 -1541.94208386985 -1541.97563303334 -1540.63555369542 -1540.75240783635 -1541.35191479641 -1541.54828551056 -1541.63645406882 -1541.69328409664 -1541.74997854772 -1542.8332160491 -1543.30596231716 -1543.22425844933 -1543.18312588909 -1543.14643836955 -1543.14626492762 -1543.1461145622 -1543.14674349343 -1543.16145657016 -1547.09194946701
UNC27782319 -1543.45424230186 -1543.45423664456 -1543.37497832763 -1543.16363823279 -1543.23458950276 -1543.23353629556 -1543.2321565891 -1542.61598369218 -1542.55490443307 -1542.35440614613 -1542.35426869995 -1542.35186497751 -1542.00756583471 -1542.00292409526 -1542.00093184807 -1542.00064162433 -1541.99995864212 -1541.99052522889 -1541.79540151146 -1541.41330318321 -1541.18618149256 -1541.73705362799 -1541.93522575925 -1541.96877548037 -1540.62868554821 -1540.74553859681 -1541.34502740929 -1541.54139335818 -1541.6295599624 -1541.68638556246 -1541.74307582207 -1542.82672642494 -1543.2994017218 -1543.21760578506 -1543.17643177925 -1543.13974130264 -1543.13956756501 -1543.13941694136 -1543.1400458429 -1543.15475805233 -1547.08525781255
UNC27782556 -1543.4521245361 -1543.45211837031 -1543.3728607638 -1543.16152736288 -1543.23247986958 -1543.23142388222 -1543.23004282087 -1542.61381732289 -1542.55273206904 -1542.35221277724 -1542.35207514118 -1542.34966808926 -1542.00534796332 -1542.0006989323 -1541.99870360282 -1541.99841291948 -1541.99772908577 -1541.9882888575 -1541.79316463381 -1541.41106484169 -1541.18394040771 -1541.73480411552 -1541.93297518508 -1541.9665247177 -1540.62642436788 -1540.74327708109 -1541.3427577323 -1541.53912119459 -1541.627286746 -1541.68410989709 -1541.74079781893 -1542.82463844451 -1543.29728465649 -1543.21544392752 -1543.17424961353 -1543.137556619 -1543.1373827439 -1543.13723200019 -1543.13786090497 -1543.15257305848 -1547.08306468522
UNCHS044157 -1544.47855890986 -1544.47855182818 -1544.39919761748 -1544.18679138541 -1544.25751082984 -1544.25643785498 -1544.25500984441 -1543.5839392517 -1543.51619257993 -1543.29162936151 -1543.29148684759 -1543.28899405194 -1542.94523408428 -1542.94014235832 -1542.93795546512 -1542.93763579218 -1542.93690162137 -1542.92846519182 -1542.73449305742 -1542.35399515887 -1542.12691784147 -1542.67173802519 -1542.86845642472 -1542.90175316485 -1541.56158008667 -1541.6778104998 -1542.27343105608 -1542.46826740443 -1542.55575291036 -1542.61215162085 -1542.66841735462 -1543.74507820968 -1544.21898395975 -1544.13576963306 -1544.09385601299 -1544.056334644 -1544.05616133527 -1544.05601108634 -1544.05664273286 -1544.07142017376 -1547.96981587725
UNCHS044158 -1544.61499381722 -1544.61498671324 -1544.53561972679 -1544.3230866935 -1544.39378123222 -1544.39270657229 -1544.39127356379 -1543.71396249163 -1543.64544746283 -1543.41808358179 -1543.41794007262 -1543.41542978142 -1543.07169922529 -1543.06655480631 -1543.06434507588 -1543.06402195457 -1543.06328177718 -1543.05490932241 -1542.86104358216 -1542.48071299 -1542.25368171534 -1542.7981005085 -1542.99471538157 -1543.02799391301 -1541.68775032606 -1541.80392068572 -1542.39918965658 -1542.59389253733 -1542.68131901754 -1542.73767709488 -1542.79390272009 -1543.86986822964 -1544.34395284697 -1544.26071925264 -1544.21879453848 -1544.18124719447 -1544.18107396724 -1544.18092378948 -1544.18155510753 -1544.19632611444 -1548.09113842242
UNC27783294 -1545.14602951695 -1545.14602248899 -1545.06661510299 -1544.85367070073 -1544.92428239997 -1544.92320138575 -1544.92175057635 -1544.22194642307 -1544.15066607942 -1543.91316335342 -1543.91301610472 -1543.91044007627 -1543.56694515987 -1543.56160818858 -1543.55931497104 -1543.55897921936 -1543.55821703555 -1543.55009005447 -1543.35660335515 -1542.97685628347 -1542.74994776077 -1543.29273695923 -1543.48894591591 -1543.52215339493 -1542.18164187752 -1542.29760622936 -1542.89164767669 -1543.08587062336 -1543.1730842099 -1543.22929370749 -1543.28537252444 -1544.35882090726 -1544.83357023194 -1544.75033422935 -1544.70840434336 -1544.67079954727 -1544.67062665185 -1544.67047676371 -1544.67110669032 -1544.68584983585 -1548.56632278026
JAX00436342 -1545.14602392216 -1545.14601681709 -1545.06660946112 -1544.85366552642 -1544.92427735013 -1544.92319591752 -1544.92174489716 -1544.22192489358 -1544.15064277148 -1543.91313382186 -1543.91298654685 -1543.91041005757 -1543.56690360318 -1543.56156543912 -1543.55927171745 -1543.55893589081 -1543.5581735687 -1543.55004727316 -1543.35656140182 -1542.97681576192 -1542.74990682986 -1543.29268622177 -1543.48889302961 -1543.52210013461 -1542.18158190169 -1542.29754580979 -1542.89158296689 -1543.08580407116 -1543.17301683443 -1543.2292255589 -1543.28530361905 -1544.35878754112 -1544.83353280745 -1544.75028768995 -1544.70835366003 -1544.67074759162 -1544.67057468417 -1544.67042478552 -1544.67105471525 -1544.68579793323 -1548.56623554679
