UNC27781681 UNCHS044153 UNCHS044154 JAX00436295 UNC27782039 UNC27782319 UNC27782556 UNCHS044157 UNCHS044158 UNC27783294 JAX00436342 UNCHS044159 UNC27784624 UNCJPD006601 UNCHS044161 UNCHS044162 UNC27785817 UNC27786598 JAX00436408 JAX00075133 UNC27787813 UNC27789455 UNCHS044163 UNCHS044164 JAX00436462 UNC27790128 UNC27790980 JAX00075148 JAX00075149 UNCJPD008530 UNC27791907 UNC27792423 UNCHS044166 UNC27792845 UNC27793027 UNC27793239 UNC27793465 UNCHS044167 UNCHS044168 UNC27794178 UNCHS044169
UNC27781681 -1952.25733381694 -1952.25724971735 -1952.2558335153 -1952.23428585121 -1952.22912537501 -1952.22842935107 -1952.2282246332 -1952.09052405592 -1952.07081007882 -1951.9908419304 -1951.99077633617 -1951.98951665556 -1951.9827672561 -1951.98121461204 -1951.98023976049 -1951.98007863606 -1951.97978174896 -1952.06031395983 -1952.03740859826 -1955.00396035766 -1969.33760486421 -1969.73753000949 -1969.81664442801 -1969.8300928775 -1974.96500860138 -1975.4033570172 -1982.0043776269 -1984.21028252407 -1985.18219242134 -1985.22916785531 -1985.28331760401 -1989.31621635081 -2000.58019018722 -2001.53675141173 -2002.043748482 -2002.08593499296 -2002.08712004507 -2002.08815398533 -2002.08860970676 -2002.11896473572 -2006.62169892568
UNCHS044153 -1952.25734274892 -1952.25725871383 -1952.25584138197 -1952.23428657265 -1952.22912515183 -1952.2284293615 -1952.22822475593 -1952.09051851652 -1952.07080388983 -1951.99083310552 -1951.99076745597 -1951.98950680488 -1951.98275607791 -1951.98120125412 -1951.98022544067 -1951.98006417072 -1951.97976702864 -1952.06030111688 -1952.03739953746 -1955.00401363033 -1969.33747500074 -1969.73742637011 -1969.81654586581 -1969.8299951977 -1974.96494805527 -1975.40329136415 -1982.00428809521 -1984.2101914871 -1985.18210098937 -1985.2290762958 -1985.28322603206 -1989.31626920999 -2000.58048218484 -2001.5370574563 -2002.04406225819 -2002.08623715096 -2002.08742223803 -2002.08845620875 -2002.08891163795 -2002.11926102782 -2006.62185393526
UNCHS044154 -1952.25320173012 -1952.25311951838 -1952.25194284466 -1952.23237678725 -1952.22748325826 -1952.22679254016 -1952.22658790346 -1952.0887661203 -1952.06904360428 -1951.98904699243 -1951.98898104984 -1951.98771525594 -1951.98086986477 -1951.9793149434 -1951.97833911959 -1951.9781778391 -1951.97788052984 -1952.05792194413 -1952.0343414661 -1954.9936638387 -1969.29433351755 -1969.69649416483 -1969.77595264032 -1969.7894625217 -1974.92299978327 -1975.36078476157 -1981.9599149412 -1984.16575937859 -1985.1376672145 -1985.1845672495 -1985.23865499134 -1989.27846854976 -2000.54431356942 -2001.49701237039 -2002.00178863618 -2002.04217908539 -2002.04336147851 -2002.04439309734 -2002.04484578691 -2002.07515118226 -2006.57435790945
JAX00436295 -1952.20624850851 -1952.20617300352 -1952.2065131089 -1952.20325544912 -1952.20128344454 -1952.20065002293 -1952.2004454089 -1952.0615729722 -1952.04178477864 -1951.96158143482 -1951.9615127755 -1951.96019936316 -1951.95250069106 -1951.95094099383 -1951.94996344499 -1951.94980178235 -1951.94950235854 -1952.02493053013 -1951.99500059693 -1954.89590912763 -1968.96590787272 -1969.38684219183 -1969.4693696367 -1969.4834176954 -1974.61596554897 -1975.04882415767 -1981.62836598002 -1983.83204829351 -1984.80321583199 -1984.84949441402 -1984.903056175 -1988.99070351589 -2000.26274789943 -2001.18836775768 -2001.67766528281 -2001.70589254026 -2001.70705580233 -2001.70807071891 -2001.70847838604 -2001.73795664078 -2006.19924367465
UNC27782039 -1952.19683910549 -1952.19676273089 -1952.19721384885 -1952.19593637823 -1952.19446395561 -1952.19384095891 -1952.19363642664 -1952.05459693268 -1952.03479970823 -1951.95457004807 -1951.95450094157 -1951.95317970452 -1951.94533732189 -1951.94377579964 -1951.94279752678 -1951.94263572868 -1951.94233581548 -1952.01699623099 -1951.98601248431 -1954.87943096601 -1968.92797773189 -1969.35102804529 -1969.43393471913 -1969.44804841198 -1974.5831940473 -1975.0152743704 -1981.59094747858 -1983.79389813935 -1984.76477594452 -1984.81096604869 -1984.86444865226 -1988.95638862129 -2000.22713256715 -2001.15010989053 -2001.63790948796 -2001.66501095782 -2001.66617223274 -2001.66718541432 -2001.66758099063 -2001.69682382238 -2006.15007538444
UNC27782319 -1952.19649131053 -1952.19641517717 -1952.19686883814 -1952.19563371759 -1952.19417193868 -1952.19355067591 -1952.19334682477 -1952.05436468037 -1952.03457058295 -1951.9543462708 -1951.95427687766 -1951.95295061091 -1951.94509771153 -1951.94352584771 -1951.94254300547 -1951.94238051363 -1951.9420793733 -1952.0167121624 -1951.98570147231 -1954.87898551511 -1968.92711961704 -1969.35019564799 -1969.4331063082 -1969.44722074166 -1974.58272652627 -1975.01478991764 -1981.59040245866 -1983.79334359996 -1984.76421773034 -1984.81040161925 -1984.86387838994 -1988.95617461326 -2000.22771436644 -2001.150887809 -2001.63881053611 -2001.66592602404 -2001.66708760126 -2001.66810104645 -2001.66849658032 -2001.69773943734 -2006.15053991068
UNC27782556 -1952.19657952987 -1952.19650350841 -1952.19695715859 -1952.19572209792 -1952.19426037199 -1952.19363979828 -1952.19343628072 -1952.05449526426 -1952.03470165041 -1951.95447220631 -1951.95440260181 -1951.95307261034 -1951.94521412694 -1951.94363648317 -1951.9426510788 -1951.94248819897 -1951.94218637327 -1952.0168205241 -1951.98580439203 -1954.87910514701 -1968.92728840707 -1969.35039047315 -1969.43330556718 -1969.44742072135 -1974.58309125618 -1975.01515857569 -1981.5908223536 -1983.79377563302 -1984.76465435849 -1984.8108371662 -1984.86431294046 -1988.95674280511 -2000.22864560938 -2001.15195098933 -2001.63995136552 -2001.66708591854 -2001.668247666 -2001.66926125966 -2001.66965700559 -2001.6989044969 -2006.1515646588
UNCHS044157 -1952.33341221784 -1952.33332183819 -1952.33369379617 -1952.33166591514 -1952.33006571595 -1952.32948758262 -1952.32940448853 -1952.3503526816 -1952.34149808043 -1952.28917598787 -1952.28910636529 -1952.28774432222 -1952.27975668652 -1952.27994433839 -1952.2797171438 -1952.27966850272 -1952.27956845024 -1952.35934948491 -1952.32649142308 -1955.20589847405 -1969.2624780558 -1969.69840966677 -1969.78395885574 -1969.79850081502 -1974.96340082265 -1975.3984472077 -1981.99379233249 -1984.19900432737 -1985.17023112261 -1985.21731563995 -1985.27164702408 -1989.40354282711 -2000.58376884376 -2001.54224378052 -2002.04711215909 -2002.08476320865 -2002.08594500584 -2002.08697609977 -2002.08758225564 -2002.12136160339 -2006.64303485294
UNCHS044158 -1952.34062105074 -1952.34052872587 -1952.3408925779 -1952.33878827765 -1952.33717519046 -1952.33659758731 -1952.3365276903 -1952.38154656465 -1952.37491441742 -1952.32953499658 -1952.32948108228 -1952.32839178286 -1952.3207554715 -1952.32144367007 -1952.32143497523 -1952.32141922298 -1952.32137762704 -1952.40141952047 -1952.36872879105 -1955.24694801001 -1969.30249419254 -1969.73689248702 -1969.82221938833 -1969.83672482393 -1975.00354176164 -1975.43861114263 -1982.03191174007 -1984.23620820369 -1985.20699649004 -1985.25417252939 -1985.30858531538 -1989.44528688954 -2000.61498693417 -2001.57971258433 -2002.08776246267 -2002.12753380755 -2002.12872012691 -2002.12975516857 -2002.13037956892 -2002.16458902473 -2006.69423370208
UNC27783294 -1952.34651371437 -1952.34641401377 -1952.34674897324 -1952.34437682856 -1952.34271957581 -1952.34213831961 -1952.34211018092 -1952.47465259452 -1952.47689302893 -1952.46069781838 -1952.46072061222 -1952.46096921106 -1952.45508421771 -1952.45798103538 -1952.45893907392 -1952.45906890611 -1952.4592862359 -1952.54015828586 -1952.50845997281 -1955.38226858212 -1969.43235328241 -1969.85926879463 -1969.94345509774 -1969.95777334101 -1975.1266176605 -1975.56131840062 -1982.14330910565 -1984.34331047985 -1985.31212013164 -1985.35961476844 -1985.41430725973 -1989.56488953192 -2000.69666874551 -2001.68572598937 -2002.20622930166 -2002.2544057336 -2002.25560957229 -2002.25665990814 -2002.25734273811 -2002.2929791657 -2006.85227570999
